timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
29 90.78 15.820300000000005 0.78 0.02 16876.7999 14.345 51.48 17.4118 0.47 0.69 8584.573699999999 17.8167 50.75 17.2375 0.51 0.78 8496.770600000002 17.8491
30 91.07 16.140999999999995 0.76 0.0 17280.3074 14.0 51.03 17.614400000000003 0.43 0.76 8659.496099999997 16.6806 50.24 17.524499999999993 0.39 0.67 8578.085800000004 16.3525
31 91.78 16.379399999999997 0.75 0.0 17712.194900000002 17.0575 50.57 17.8809 0.34 0.74 8730.325399999998 18.854200000000002 49.79 17.807100000000002 0.42 0.64 8663.800200000003 17.3592
32 92.42 16.636299999999995 0.68 0.0 18143.832400000003 15.5 50.22 18.114000000000004 0.38 0.67 8809.1554 17.4566 49.18 18.121000000000006 0.36 0.84 8710.589800000003 18.812
33 93.2 16.888700000000004 0.63 0.02 18586.0613 15.14 49.82 18.365600000000004 0.41 0.62 8885.6298 16.8875 49.02 18.2943 0.22 0.75 8796.056000000004 17.4783
34 93.88 17.152199999999997 0.63 0.0 19027.9988 15.955 49.46 18.562100000000004 0.34 0.77 8954.761500000002 19.346700000000002 48.65 18.6105 0.4 0.62 8882.383400000002 16.2692
35 94.79 17.389799999999997 0.59 0.0 19493.3654 15.41 49.34 18.699700000000004 0.24 0.76 9043.946600000001 17.1158 48.4 18.789600000000004 0.31 0.62 8992.8455 17.0716
36 95.7 17.54999999999999 0.59 0.02 19953.2372 14.83 48.92 18.9796 0.3 0.68 9121.123300000001 18.9142 48.08 18.8864 0.26 0.76 9054.7316 18.315
37 96.98 17.6551 0.52 0.01 20446.1251 13.96 49.01 19.088900000000006 0.18 0.5 9281.052700000002 13.286700000000002 47.75 19.0986 0.26 0.73 9123.486 17.6017
38 98.33 17.797400000000007 0.33 0.01 20983.1944 9.4667 48.99 19.141500000000004 0.19 0.74 9366.4708 15.265100000000002 47.58 19.271500000000007 0.25 0.72 9194.276099999997 19.233400000000003
39 99.67 17.9354 0.41 0.02 21507.602299999995 11.96 48.86 19.261 0.16 0.7 9459.639000000001 19.015 47.44 19.420699999999997 0.19 0.64 9290.2199 16.88
40 101.24 18.033899999999996 0.45 0.0 22050.547199999997 13.4 48.89 19.327499999999993 0.14 0.59 9589.599400000005 12.476700000000001 47.25 19.595200000000006 0.21 0.58 9391.181499999997 15.016599999999999
41 102.49 18.171199999999995 0.43 0.0 22580.865799999996 14.03 48.74 19.382500000000004 0.11 0.69 9681.936200000002 15.0767 47.06 19.7142 0.14 0.69 9464.267699999999 14.699099999999998
42 103.79 18.305700000000005 0.46 0.0 23112.321999999996 16.32 48.75 19.443900000000006 0.1 0.61 9814.130800000004 14.551599999999999 46.96 19.803399999999996 0.2 0.56 9566.259699999997 16.436700000000002
43 105.11 18.4018 0.3 0.0 23682.190199999997 11.76 48.66 19.5297 0.16 0.56 9926.1146 17.415 46.98 19.798400000000004 0.08 0.55 9702.082899999998 13.7333
44 106.1 18.519800000000004 0.42 0.01 24204.0844 16.21 48.64 19.5321 0.06 0.56 10057.2595 11.9309 46.72 19.853999999999996 0.15 0.69 9770.591999999997 18.2199
45 107.26 18.622 0.46 0.01 24740.3793 16.49 48.21 19.664099999999998 0.14 0.69 10112.2286 19.655 46.64 19.893500000000007 0.08 0.61 9868.605 15.925900000000002
46 108.42 18.717100000000002 0.38 0.02 25290.13829999999 13.475 48.03 19.6201 0.14 0.66 10183.320500000002 14.988299999999999 46.47 19.9198 0.09 0.63 9936.489500000001 19.1333
