timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
29 87.78 15.302800000000001 1.02 0.01 16292.3966 19.27 52.57 16.357300000000002 0.52 0.61 9017.487799999995 16.8225 53.58 16.2315 0.69 0.74 9213.207 18.3289
30 88.25 15.574200000000003 0.84 0.0 16682.5041 15.66 51.98 16.6197 0.4 0.7 9087.092999999999 18.1967 53.04 16.586800000000004 0.52 0.5 9322.709 18.1083
31 88.76 15.830699999999997 0.8 0.0 17074.4283 16.93 51.17 16.935600000000004 0.51 0.79 9105.714 19.6856 52.49 16.913600000000002 0.47 0.63 9427.753500000003 16.6767
32 89.21 16.12879999999999 0.78 0.01 17469.508299999998 15.96 50.78 17.160199999999996 0.39 0.77 9177.2045 16.296599999999998 52.13 17.112199999999994 0.39 0.67 9518.221700000006 19.4899
33 90.05 16.366500000000002 0.5 0.0 17919.1308 13.12 50.53 17.399100000000004 0.41 0.66 9268.991399999999 17.334699999999998 51.77 17.300300000000007 0.4 0.69 9602.453600000003 16.6025
34 90.98 16.578 0.56 0.01 18368.273299999997 15.92 50.41 17.515300000000007 0.25 0.72 9369.655099999998 14.392100000000001 51.67 17.471499999999995 0.4 0.55 9731.483400000003 17.1
35 91.72 16.822100000000002 0.66 0.0 18800.938000000002 15.98 50.01 17.725799999999996 0.32 0.65 9446.200499999999 18.4342 51.4 17.586499999999997 0.31 0.73 9806.9428 18.0141
36 92.8 16.981300000000005 0.61 0.03 19252.729 13.978299999999999 49.53 17.964499999999997 0.4 0.66 9508.965199999999 17.936700000000002 50.92 17.789200000000008 0.25 0.74 9883.610200000003 16.9303
37 93.9 17.152900000000006 0.5 0.0 19730.9177 14.69 49.43 18.138599999999993 0.28 0.48 9643.9232 15.9733 50.76 17.965700000000002 0.27 0.64 9977.4276 19.689899999999998
38 94.99 17.3252 0.47 0.01 20211.4828 13.12 49.15 18.313800000000004 0.26 0.62 9749.141099999999 19.17 50.61 18.087500000000002 0.26 0.62 10076.777300000002 17.2467
39 96.43 17.421299999999995 0.42 0.0 20731.5704 13.91 49.06 18.466400000000004 0.16 0.63 9866.296300000002 16.4867 50.67 18.196199999999997 0.23 0.56 10188.603000000003 17.8183
40 97.59 17.5645 0.43 0.01 21237.591399999998 14.825 49.13 18.5288 0.15 0.6 9994.9217 13.889900000000003 50.56 18.299 0.19 0.57 10309.210600000002 15.318299999999999
41 98.71 17.7185 0.45 0.01 21735.009 14.4 49.08 18.626300000000004 0.18 0.54 10114.8962 13.0483 50.5 18.371400000000005 0.11 0.65 10416.624300000003 14.7183
42 100.1 17.7984 0.37 0.0 22273.3102 11.64 49.11 18.6191 0.18 0.57 10231.3979 15.5284 50.4 18.468099999999996 0.11 0.63 10541.9951 16.31
43 101.27 17.951999999999998 0.38 0.0 22799.288800000002 13.366700000000002 48.8 18.749500000000005 0.2 0.66 10313.559999999996 16.2208 50.35 18.518199999999993 0.14 0.61 10656.2489 18.9099
44 102.5 18.061199999999996 0.34 0.0 23347.2002 11.87 48.77 18.767300000000006 0.11 0.53 10464.9408 12.2533 50.45 18.5251 0.14 0.56 10794.320000000002 17.41
45 103.81 18.132700000000007 0.3 0.0 23908.8036 11.53 48.48 18.874699999999997 0.13 0.65 10547.041899999997 18.1367 50.49 18.492999999999995 0.04 0.59 10946.950100000002 12.592400000000003
46 105.0 18.25309999999999 0.38 0.02 24440.8213 16.0 48.18 18.9276 0.1 0.72 10611.127099999998 16.288400000000003 50.36 18.516399999999997 0.11 0.57 11074.891500000003 14.859000000000002
47 106.04 18.349899999999995 0.32 0.0 24988.858799999998 12.375 48.07 18.914900000000003 0.12 0.54 10718.587899999999 17.725 50.12 18.495 0.12 0.71 11135.866400000006 18.6217
48 107.16 18.41539999999999 0.37 0.02 25531.092100000005 13.94 47.84 18.93070000000001 0.11 0.57 10818.874 16.9217 49.91 18.5443 0.12 0.52 11250.871700000002 15.7217
49 108.24 18.473800000000004 0.3 0.0 26097.867100000003 12.18 47.65 18.932000000000002 0.09 0.59 10913.153899999998 17.9134 49.52 18.570399999999996 0.09 0.63 11339.240599999997 15.3892
50 109.23 18.518000000000008 0.31 0.01 26649.722199999997 12.28 47.45 18.92340000000001 0.08 0.43 11036.0529 16.385 49.28 18.50089999999999 0.11 0.52 11431.132599999997 16.493299999999998
51 110.13 18.5561 0.37 0.01 27194.545299999994 14.52 47.1 18.899199999999997 0.15 0.51 11127.9989 19.1033 49.03 18.472400000000004 0.08 0.47 11569.314399999997 14.3467
52 111.04 18.560000000000006 0.26 0.02 27762.23449999999 11.44 46.61 18.8347 0.17 0.67 11148.934799999997 21.7608 48.58 18.44 0.11 0.56 11645.583200000001 17.255
53 112.0 18.55780000000001 0.27 0.0 28340.140800000005 11.24 46.36 18.734399999999997 0.09 0.45 11255.192999999997 14.198400000000001 48.29 18.363599999999998 0.07 0.52 11741.076000000001 17.5817
54 113.08 18.508500000000005 0.31 0.0 28912.883700000002 14.0 46.07 18.637700000000002 0.11 0.53 11331.053099999997 16.7399 48.03 18.224999999999994 0.09 0.48 11838.2974 17.3025
55 114.44 18.4073 0.21 0.03 29527.5163 9.6 45.85 18.464399999999998 0.07 0.46 11437.572900000001 13.8167 47.65 18.116300000000003 0.16 0.58 11884.996399999998 22.835
56 115.53 18.312799999999996 0.29 0.02 30113.574600000007 12.575 45.6 18.334999999999994 0.05 0.49 11534.872800000001 18.9417 47.31 17.972700000000007 0.12 0.49 11968.2719 18.8633
57 116.65 18.2255 0.31 0.0 30704.506800000006 16.45 45.42 18.12 0.05 0.49 11651.573300000004 15.41 47.04 17.768200000000004 0.1 0.53 12031.840399999995 19.5249
58 117.69 18.116 0.25 0.0 31308.165499999992 12.97 45.06 17.905200000000008 0.06 0.54 11737.776000000003 16.9734 46.7 17.559199999999997 0.08 0.46 12163.211499999998 15.1967
59 118.82 18.0008 0.27 0.0 31915.840399999997 13.84 44.9 17.6553 0.07 0.41 11849.205100000003 18.79 46.47 17.3379 0.1 0.4 12277.406699999998 14.228299999999999
60 117.72 18.308100000000003 0.29 0.01 31758.59539999999 56.077000000000005 43.56 17.975100000000005 0.05 0.47 11592.077800000003 46.141400000000004 44.72 17.7319 0.07 0.49 11913.646699999992 49.8958
61 116.78 18.6149 0.17 0.02 31574.093299999993 59.74059999999999 41.95 18.3178 0.03 0.42 11267.7269 47.310100000000006 43.14 18.122799999999994 0.05 0.43 11560.721299999997 50.48700000000001
62 117.0 18.678999999999995 0.21 0.01 31814.541900000004 50.2552 41.53 18.189600000000006 0.04 0.36 11278.781799999999 27.955 42.5 18.0691 0.02 0.43 11512.140099999997 31.3416
63 116.77 18.893700000000003 0.22 0.03 31844.542999999994 54.272800000000004 40.86 18.169999999999995 0.05 0.28 11220.858999999997 35.4268 41.63 18.0767 0.04 0.46 11381.7686 40.1158
64 116.71 19.016900000000007 0.15 0.01 31970.827699999994 57.7109 40.11 18.0808 0.05 0.41 11154.043299999998 32.335 41.13 17.966899999999995 0.03 0.35 11388.915899999998 28.3933
65 117.01 19.080700000000004 0.18 0.0 32103.43719999999 58.311800000000005 39.1 18.152100000000008 0.05 0.41 10969.153899999998 44.0168 40.27 17.9151 0.01 0.49 11256.8102 35.518299999999996
66 116.82 19.191599999999998 0.19 0.0 31966.898299999997 64.0601 37.97 18.3535 0.05 0.29 10745.476300000002 50.486000000000004 39.08 18.061399999999992 0.05 0.3 11009.367500000002 50.3954
67 116.64 19.374099999999995 0.24 0.0 31843.963799999998 63.86030000000001 37.11 18.412499999999994 0.04 0.31 10596.1445 40.0725 38.2 18.046799999999998 0.03 0.3 10851.194000000001 42.1576
68 117.11 19.404699999999995 0.21 0.02 31965.79099999999 58.150200000000005 36.4 18.419300000000007 0.06 0.29 10480.148800000003 38.981700000000004 37.57 17.940900000000006 0.01 0.3 10760.3802 32.6392
69 117.51 19.495300000000007 0.27 0.01 32048.239600000004 60.513600000000004 35.86 18.279699999999995 0.05 0.26 10441.817500000003 35.36 37.05 17.793999999999997 0.01 0.27 10752.3971 30.439899999999998
70 116.22 19.919999999999995 0.15 0.02 31443.6717 69.1747 34.82 18.515299999999996 0.04 0.27 10180.9716 51.955200000000005 35.8 18.051899999999993 0.02 0.28 10469.1608 53.1368
71 117.11 19.879800000000003 0.19 0.02 31616.272299999997 55.7471 34.15 18.4617 0.04 0.27 10078.167600000004 36.466800000000006 35.01 18.0439 0.0 0.17 10353.693800000003 45.3667
72 117.88 19.8811 0.19 0.01 31813.00239999998 56.9652 33.68 18.340500000000006 0.05 0.23 10012.726800000002 34.8067 34.35 18.007500000000007 0.05 0.22 10229.783000000003 40.5617
73 118.65 19.904799999999998 0.1 0.02 31949.154599999998 63.856700000000004 32.81 18.389000000000006 0.06 0.23 9834.548500000004 47.7992 33.37 18.137000000000004 0.05 0.27 9999.631600000002 48.9108
74 119.74 19.8317 0.05 0.0 32338.7704 46.915 32.39 18.182599999999994 0.04 0.25 9756.257900000006 31.29 33.1 17.922500000000003 0.03 0.14 9998.701700000003 28.645
75 120.5 19.860900000000004 0.14 0.0 32466.3321 65.7359 31.88 18.0651 0.04 0.18 9671.569700000007 36.374 32.34 17.897099999999995 0.01 0.28 9830.641900000002 43.625
76 121.21 19.9355 0.12 0.0 32568.205500000004 67.06 31.31 18.0088 0.03 0.15 9572.770900000005 39.1133 31.73 17.827700000000007 0.01 0.21 9735.828500000003 39.9433
77 121.92 20.0629 0.09 0.0 32651.2098 71.3081 30.98 17.799200000000006 0.01 0.18 9560.240000000003 28.5917 31.3 17.668200000000002 0.02 0.16 9707.7926 30.0325
78 123.28 20.0051 0.14 0.02 32937.85630000001 58.2517 30.47 17.636100000000003 0.03 0.28 9482.382400000002 30.9817 31.0 17.446399999999997 0.02 0.13 9688.311099999999 31.7317
79 122.98 20.2677 0.11 0.0 32506.4249 74.1864 29.47 17.780499999999996 0.02 0.18 9181.942500000001 51.585 29.96 17.686399999999995 0.03 0.14 9328.275200000002 57.9471
80 124.7 20.170799999999996 0.11 0.03 32883.909599999984 48.6416 29.05 17.577399999999997 0.02 0.22 9143.597700000002 26.11 29.69 17.354400000000005 0.02 0.18 9344.2018 24.33
81 125.29 20.2673 0.07 0.05 32750.181800000002 70.09209999999999 28.12 17.707199999999997 0.0 0.19 8901.284499999998 53.1517 28.97 17.354300000000002 0.0 0.17 9134.032400000002 46.11
82 125.41 20.473899999999993 0.17 0.0 32442.64390000001 75.946 27.13 17.92749999999999 0.02 0.17 8657.5189 55.1058 28.23 17.404700000000002 0.0 0.14 8958.171000000004 49.8767
83 125.28 20.753599999999995 0.12 0.03 31933.7441 80.70420000000001 26.04 18.2561 0.0 0.2 8285.313900000001 57.835 27.12 17.760000000000005 0.02 0.1 8504.9434 67.8292
84 126.12 20.852299999999996 0.13 0.03 31754.250600000007 74.1493 25.36 18.336699999999997 0.0 0.09 8074.907099999998 44.8942 26.4 17.822000000000003 0.0 0.12 8321.4474 46.105
85 127.51 20.924899999999994 0.15 0.04 31917.38359999999 68.4402 24.86 18.2574 0.02 0.17 7953.777899999997 37.294200000000004 25.87 17.813799999999993 0.03 0.14 8206.2086 40.0117
86 127.28 21.306800000000003 0.08 0.01 31150.2366 83.5116 23.74 18.824100000000005 0.0 0.06 7489.587299999997 69.9925 24.3 18.659599999999998 0.02 0.17 7551.0705000000025 76.5226
87 129.77 21.1241 0.08 0.04 31774.889699999996 24.7425 23.79 18.368599999999994 0.0 0.1 7570.779899999998 8.01 24.28 18.235 0.01 0.09 7642.932600000006 6.495
88 130.02 21.4219 0.06 0.04 31308.668500000014 81.52069999999999 22.94 18.565900000000006 0.0 0.15 7204.455299999994 58.2633 23.28 18.684300000000004 0.0 0.08 7278.773000000005 61.9175
89 131.78 21.431099999999997 0.11 0.06 31488.158499999998 68.5651 22.53 18.4358 0.02 0.15 7116.074699999998 36.5217 22.96 18.478699999999996 0.0 0.12 7222.159000000003 26.528299999999998
90 134.19 21.333099999999998 0.11 0.03 31925.894900000003 50.3467 22.27 18.227799999999995 0.0 0.13 7093.746099999997 25.3475 22.77 18.179699999999993 0.0 0.13 7224.236900000002 20.5183
91 135.24 21.516 0.08 0.01 31850.367799999993 79.911 21.5 18.408799999999996 0.02 0.1 6834.944199999997 59.3491 21.82 18.577599999999997 0.0 0.1 6871.791099999998 63.4734
92 136.26 21.7393 0.05 0.01 31504.3964 82.54459999999999 20.76 18.570800000000006 0.01 0.17 6606.845099999998 54.7751 20.85 19.028300000000012 0.0 0.14 6555.571899999999 63.7975
93 138.05 21.772899999999996 0.03 0.05 31715.172499999986 71.6875 20.15 18.7167 0.01 0.1 6389.812899999999 47.655 20.41 19.107200000000002 0.0 0.05 6389.624400000001 40.0984
94 139.58 21.920200000000012 0.06 0.02 31743.787600000007 74.51100000000001 19.66 18.78739999999999 0.02 0.11 6179.786300000002 43.231700000000004 19.9 19.163699999999995 0.0 0.04 6195.0936999999985 45.4
95 141.88 21.895000000000003 0.08 0.0 32226.198400000023 43.2799 19.49 18.51920000000001 0.0 0.04 6192.1614 16.935 19.59 19.0162 0.0 0.12 6160.003899999999 21.8633
96 143.24 22.088899999999988 0.1 0.05 32047.35130000001 79.5804 18.57 19.009900000000002 0.01 0.13 5809.780200000001 59.8291 18.83 19.5203 0.01 0.06 5845.869800000002 60.025
97 144.77 22.277800000000003 0.03 0.03 31913.358699999997 81.8653 17.47 19.801 0.0 0.13 5323.498999999999 71.6667 17.82 20.287499999999994 0.01 0.07 5398.990599999999 72.615
98 145.75 22.537499999999994 0.08 0.07 31539.07479999999 85.9086 16.5 20.72339999999999 0.0 0.07 4886.842100000001 67.4475 17.02 20.9606 0.0 0.07 5032.6934 59.0583
99 147.85 22.665999999999993 0.05 0.05 31588.718699999998 75.47399999999999 15.78 21.2197 0.0 0.1 4605.5227 44.5333 16.44 21.401500000000006 0.01 0.07 4845.675800000001 42.5833
100 148.76 22.9886 0.05 0.05 31111.7755 88.55769999999998 15.05 22.176200000000005 0.0 0.13 4277.335900000002 60.8587 15.85 22.112199999999994 0.0 0.1 4579.2421 49.775
101 151.6 22.984300000000005 0.03 0.04 31684.6051 41.3967 14.89 22.102600000000002 0.0 0.07 4240.789400000001 17.595 15.69 22.0884 0.01 0.09 4548.059700000001 16.99
102 155.04 22.898000000000007 0.05 0.02 32333.603300000002 38.5682 14.8 21.8142 0.0 0.13 4225.7313 11.6125 15.6 21.968899999999998 0.0 0.04 4528.224899999999 18.29
103 158.45 22.849200000000007 0.05 0.04 32956.72420000001 44.7133 14.65 21.694899999999997 0.0 0.06 4209.4278 16.125 15.46 21.974700000000002 0.01 0.03 4506.9603 18.865
104 161.66 22.8453 0.07 0.04 33531.70809999999 44.237199999999994 14.52 21.515399999999996 0.0 0.07 4201.715899999999 15.355 15.32 21.777900000000002 0.0 0.07 4505.6287 11.79
105 165.33 22.776999999999997 0.06 0.14 34131.4108 46.068400000000004 14.39 21.3456 0.01 0.07 4173.715499999998 15.045 15.25 21.675900000000006 0.0 0.03 4513.665499999999 12.84
106 168.88 22.7377 0.02 0.08 34764.8621 47.0383 14.23 21.4205 0.0 0.08 4148.5234 16.33 15.14 21.5158 0.0 0.09 4470.959999999999 19.885
107 172.84 22.674400000000002 0.01 0.11 35430.6841 44.9873 14.23 21.107699999999994 0.0 0.07 4160.780400000001 10.7467 15.03 21.547500000000003 0.0 0.02 4431.2707999999975 17.875
108 176.49 22.630400000000012 0.05 0.1 36019.2432 47.5489 14.07 21.019000000000002 0.0 0.07 4132.327200000001 15.665 14.93 21.470500000000005 0.0 0.07 4423.904499999999 14.543299999999999
109 179.94 22.6789 0.04 0.06 36590.23399999999 55.3217 14.03 20.81759999999999 0.0 0.05 4137.824300000001 11.915 14.82 21.1707 0.0 0.11 4382.247799999999 19.7583
110 183.56 22.663200000000003 0.04 0.11 37246.416 48.6529 13.83 20.979699999999998 0.0 0.1 4067.9469000000013 21.045 14.81 20.881700000000002 0.0 0.04 4367.8409999999985 16.015
111 187.67 22.614099999999997 0.0 0.14 37937.702900000004 49.1716 13.76 20.941099999999995 0.0 0.06 4029.7558000000017 18.76 14.71 20.7194 0.0 0.09 4331.843899999998 14.4817
112 191.92 22.580899999999993 0.1 0.07 38656.0622 46.4117 13.68 20.657699999999995 0.0 0.1 4022.5500000000006 11.13 14.53 20.756500000000003 0.0 0.01 4281.482499999998 20.27
113 196.0 22.575599999999998 0.04 0.14 39385.78850000002 46.320699999999995 13.6 20.555799999999998 0.0 0.06 3977.2072 18.7483 14.39 20.685000000000006 0.0 0.06 4217.103599999999 21.1325
114 200.17 22.518800000000002 0.04 0.15 40126.8606 49.194700000000005 13.46 20.4566 0.01 0.09 3930.6170000000006 16.535 14.13 20.837000000000007 0.0 0.05 4128.277999999998 25.255
115 204.35 22.493199999999987 0.12 0.15 40868.21770000001 49.064099999999996 13.4 20.346899999999994 0.0 0.04 3883.376 18.55 14.08 20.73 0.0 0.06 4102.326299999999 16.32
116 208.29 22.522000000000002 0.05 0.17 41592.351600000016 49.5754 13.26 20.23040000000001 0.0 0.05 3858.113500000001 16.485 14.05 20.502700000000004 0.0 0.09 4080.0427999999997 15.309000000000001
117 212.98 22.512500000000014 0.11 0.3 42202.24950000001 58.482299999999995 13.05 20.308899999999998 0.0 0.11 3810.6255 20.025 13.92 20.532800000000005 0.0 0.1 3991.8569999999995 23.3667
118 217.59 22.479799999999997 0.06 0.33 42953.66290000001 51.0349 12.9 20.4734 0.0 0.07 3765.5749999999994 16.5025 13.81 20.26899999999999 0.0 0.11 3969.0275 14.7217
119 222.5 22.46149999999999 0.05 0.22 43612.13219999998 55.2374 12.73 20.33039999999999 0.0 0.11 3703.9512000000004 19.0517 13.64 20.348399999999998 0.0 0.09 3915.7594999999997 20.8
120 227.05 22.489199999999993 0.07 0.32 44307.08719999999 50.411100000000005 12.6 20.19 0.0 0.09 3676.7377 13.985 13.5 20.450200000000006 0.0 0.06 3841.647899999999 20.265
121 231.6 22.534499999999998 0.07 0.28 44964.77290000001 57.7231 12.55 19.927499999999995 0.0 0.09 3648.7973999999995 13.7358 13.42 20.169700000000002 0.0 0.1 3782.6012 16.965
122 236.58 22.491699999999994 0.06 0.39 45683.4207 54.1354 12.49 19.7629 0.0 0.05 3628.2947999999997 15.37 13.36 19.933300000000003 0.0 0.09 3759.2052999999996 13.705
123 241.73 22.443400000000008 0.11 0.25 46488.0585 51.3693 12.4 19.5816 0.0 0.07 3608.3013 15.0833 13.26 19.770000000000003 0.0 0.06 3717.2041999999997 19.33
124 247.03 22.429299999999998 0.06 0.39 47244.61910000001 54.554500000000004 12.3 19.4763 0.0 0.04 3561.912999999999 17.995 13.27 19.479899999999997 0.0 0.08 3713.2716999999993 11.8375
125 252.29 22.4153 0.05 0.36 48047.536199999995 53.92549999999999 12.24 19.351100000000002 0.0 0.04 3523.9969999999994 13.9617 13.17 19.261200000000002 0.0 0.11 3663.2941999999994 15.6117
126 257.57 22.397800000000004 0.09 0.45 48814.29489999999 47.757600000000004 12.19 19.300599999999996 0.0 0.05 3484.7371000000003 16.27 13.05 19.0332 0.0 0.12 3630.6739999999995 16.355
127 262.84 22.3822 0.19 0.52 49653.5026 49.8392 12.17 19.066599999999998 0.0 0.03 3462.5923 12.541599999999999 13.15 18.590700000000005 0.0 0.07 3660.548399999999 7.61
128 267.85 22.38789999999999 0.15 0.37 50454.11059999998 52.911100000000005 12.05 19.066800000000008 0.0 0.08 3413.7915 16.63 13.04 18.54970000000001 0.0 0.07 3599.5701999999997 19.78
129 273.57 22.345699999999997 0.14 0.47 51370.740600000005 49.8451 11.99 18.8318 0.0 0.05 3397.7309999999998 12.28 13.07 18.4294 0.0 0.06 3562.1794000000004 15.85
130 279.06 22.3132 0.14 0.57 52203.637900000016 49.632799999999996 11.84 19.106499999999997 0.0 0.12 3313.9691000000003 20.083299999999998 12.98 18.2718 0.0 0.11 3487.3932000000013 21.471700000000002
131 284.1 22.35179999999999 0.08 0.56 53005.9196 52.35639999999999 11.83 18.9129 0.0 0.04 3292.4006 13.1667 12.95 18.4868 0.0 0.08 3444.7744000000002 18.3
132 290.15 22.292300000000004 0.13 0.58 53835.61329999999 54.1222 11.71 18.733100000000004 0.0 0.1 3245.3461000000007 14.54 12.8 18.862699999999997 0.0 0.13 3363.5636 24.025
133 296.54 22.229699999999994 0.14 0.6 54756.208 55.8208 11.71 18.484199999999994 0.0 0.02 3243.979100000001 11.3 12.79 18.636799999999994 0.0 0.06 3356.6444000000006 10.9575
